para_1,result
0.51,0.029922799
0.47,0.030072823
1.49,0.026472075
1.51,0.026405959
1.02,0.028074308
1.24,0.027312601
0.98,0.028214314
0.86,0.028641589
1.91,0.025117814
1.71,0.025753832
0.61,0.029550999
1.84,0.025338613
0.61,0.029550999
0.96,0.028285708
1.44,0.026638084
0.73,0.029110934
0.8,0.028857262
1.73,0.025689513
0.52,0.029885407
1.73,0.025689513
1.84,0.025338613
1.4,0.026771641
0.71,0.029183821
0.88,0.028570058
0.74,0.029074559
1.05,0.027969201
1.74,0.025657414
0.62,0.029514073
1.2,0.027449539
0.72,0.029147355
1.98,0.024898936
1.41,0.026738189
1.83,0.025370313
1.53,0.02634001
1.17,0.027552692
0.78,0.028929512
0.74,0.029074559
0.64,0.029440363
1.16,0.027587164
1.32,0.027040764
1.5,0.026438998
1.11,0.027760166
0.67,0.029330145
1.13,0.027690835
1.3,0.027108469
1.89,0.025180702
0.83,0.028749222
0.78,0.028929512
1.98,0.024898936
1.33,0.027006977
0.53,0.029848068
1.48,0.026505191
1.74,0.025657414
1.61,0.026077856
0.85,0.028677421
1.51,0.026405959
1.72,0.025721651
2,0.024836748
1.85,0.025306949
1.41,0.026738189
1.88,0.025212204
1.18,0.027518266
0.84,0.028713302
0.79,0.028893366
1.98,0.024898936
1.71,0.025753832
1.24,0.027312601
0.58,0.029662053
1.91,0.025117814
1.36,0.026905865
1.23,0.027346768
0.93,0.02839201
1.92,0.025086426
0.97,0.028250365
1.09,0.027829669
1.97,0.024930087
0.99,0.02817981
1.79,0.025497514
0.96,0.028285708
1.34,0.02697323
0.9,0.0284987
0.81,0.028821204
0.78,0.028929512
0.68,0.029293493
0.57,0.029699163
1.62,0.026045272
1.54,0.026307098
1.12,0.02772548
0.93,0.02839201
0.98,0.028214314
0.73,0.029110934
1.44,0.026638084
0.88,0.028570058
1.9,0.025149236
1.58,0.026175858
1.38,0.026838666
0.84,0.028713302
1.3,0.027108469
1.86,0.025275329
1.49,0.026472075
1.99,0.024867823
0.49,0.029997718
1.56,0.026241395
1.84,0.025338613
0.74,0.029074559
1.82,0.025402052
0.85,0.028677421
1.74,0.025657414
1.53,0.02634001
0.47,0.030072823
0.56,0.029735346
1.26,0.027244385
1.42,0.026704778
1.62,0.026045272
1.86,0.025275329
0.86,0.028641589
1.75,0.025625352
1.79,0.025497514
0.71,0.029183821
1.92,0.025086426
1.09,0.027829669
1.79,0.025497514
0.89,0.028534357
1.34,0.02697323
1.41,0.026738189
0.74,0.029074559
1.9,0.025149236
1.22,0.027380983
0.59,0.029624988
0.88,0.028570058
0.6,0.029587968
1.2,0.027449539
0.51,0.029922799
0.67,0.029330145
1.4,0.026771641
1.71,0.025753832
1.34,0.02697323
1.3,0.027108469
1.73,0.025689513
1.12,0.02772548
1.36,0.026905865
0.94,0.028356529
1.65,0.025947758
0.52,0.029885407
1.4,0.026771641
1.15,0.027621676
0.89,0.028534357
1.06,0.027934252
1.98,0.024898936
1.09,0.027829669
1.97,0.024930087
1.23,0.027346768
1.79,0.025497514
0.55,0.029773521
0.53,0.029848068
0.78,0.028929512
0.87,0.028605801
0.49,0.029997718
0.67,0.029330145
1.01,0.028109431
1.04,0.028004193
1.18,0.027518266
1.65,0.025947758
1.61,0.026077856
1.48,0.026505191
1.03,0.028039229
1.85,0.025306949
1.72,0.025721651
1.87,0.025243745
0.69,0.02925689
1.33,0.027006977
1.37,0.026872247
1.41,0.026738189
0.85,0.028677421
1.32,0.027040764
0.66,0.029366837
1.73,0.025689513
0.58,0.029662053
1.44,0.026638084
1.7,0.025786052
1.66,0.025915338
1.14,0.027656233
0.56,0.029736321
1.31,0.027074598
1.55,0.026274225
1.53,0.02634001
1.73,0.025689513
0.59,0.029624988
1.65,0.025947758
1.37,0.026872247
1,0.028144599
0.84,0.028713302
0.78,0.028929512
1.18,0.027518266
1.25,0.02727847
1.53,0.02634001
0.74,0.029074559
1.25,0.02727847
0.73,0.029110934
1.52,0.026372966
