para_1,para_2,result
0.321,0.15,0.002792356
0.408,0.121,0.042729339
0.179,0.153,0.0021678
0.154,0.129,0.02403854
0.272,0.121,0.044883645
0.056,0.175,0.000251006
0.319,0.096,0.332665268
0.268,0.116,0.070476141
0.441,0.161,0.000886338
0.15,0.171,0.000340356
0.456,0.124,0.033773362
0.161,0.165,0.000679982
0.424,0.1,0.238467117
0.258,0.084,0.769555201
0.099,0.122,0.045851185
0.172,0.12,0.051029608
0.066,0.113,0.097932294
0.198,0.096,0.346406805
0.383,0.152,0.002223927
0.062,0.129,0.024862049
0.121,0.083,0.856561436
0.116,0.143,0.006630855
0.015,0.084,0.830538358
0.26,0.151,0.002580197
0.35,0.136,0.011707087
0.389,0.113,0.08732169
0.047,0.081,0.994884558
0.499,0.161,0.000867277
0.421,0.1,0.238710716
0.189,0.151,0.002649528
0.396,0.173,0.000260351
0.466,0.127,0.025716749
0.027,0.101,0.253073227
0.103,0.085,0.757353365
0.102,0.157,0.001490242
0.387,0.12,0.047219411
0.162,0.129,0.023968234
0.028,0.132,0.019121342
0.067,0.12,0.053000648
0.164,0.087,0.651702033
0.202,0.137,0.011265288
0.034,0.167,0.000598395
0.486,0.108,0.123224122
0.429,0.116,0.066531831
0.421,0.108,0.12606146
0.155,0.159,0.001199062
0.282,0.155,0.001703319
0.154,0.098,0.303423677
0.121,0.083,0.856561436
0.246,0.081,0.935768189
0.4,0.105,0.162666597
0.388,0.163,0.00074905
0.041,0.089,0.593528692
0.344,0.127,0.026888012
0.354,0.131,0.018599838
0.131,0.174,0.000265222
0.373,0.091,0.465139093
0.174,0.173,0.000283009
0.268,0.128,0.025250369
0.077,0.085,0.763596712
0.36,0.096,0.328133845
0.437,0.17,0.000335309
0.364,0.124,0.034921265
0.093,0.128,0.026918733
0.084,0.131,0.020537938
0.459,0.12,0.046008107
0.336,0.161,0.000921918
0.174,0.097,0.324696382
0.429,0.11,0.110435107
0.345,0.169,0.000381255
0.294,0.122,0.04272611
0.457,0.092,0.422274855
0.443,0.116,0.06619946
0.061,0.109,0.131389501
0.357,0.103,0.193592778
0.33,0.081,0.911881349
0.181,0.097,0.323933579
0.4,0.088,0.56533944
0.442,0.164,0.000669293
0.147,0.083,0.849644018
0.027,0.171,0.000356458
0.375,0.08,0.958159835
0.024,0.139,0.009974743
0.24,0.149,0.003189392
0.216,0.093,0.426252787
0.133,0.128,0.026527927
0.347,0.089,0.537656521
0.12,0.114,0.088267544
0.345,0.116,0.068561376
0.174,0.109,0.126275552
0.421,0.108,0.12606146
0.096,0.083,0.863265836
0.319,0.121,0.044127132
0.02,0.092,0.487398131
0.415,0.158,0.001199076
0.216,0.112,0.100946039
0.184,0.152,0.002395589
0.428,0.139,0.008588786
0.334,0.156,0.001509511
0.399,0.144,0.005440878
0.192,0.081,0.95145353
0.204,0.089,0.563080096
