para_1,para_2,para_3,result
0.065,7,0.58,0.152304344
0.01,19,0.26,0.157016002
0.013,26,0.27,0.135341818
0.05,14,0.56,0.094009513
0.044,27,0.51,0.113763939
0.043,38,0.48,0.134303406
0.103,39,0.49,0.256616505
0.043,27,0.7,0.005730204
0.022,14,0.31,0.205270177
0.066,39,0.67,0.00733654
0.093,12,0.69,0.055096742
0.039,27,0.53,0.087707201
0.086,7,0.46,0.280668735
0.075,37,0.33,0.350834649
0.023,7,0.35,0.258125756
0.044,33,0.37,0.212532239
0.066,9,0.39,0.300087518
0.104,7,0.47,0.29218889
0.042,31,0.32,0.248252986
0.076,16,0.54,0.14611461
0.105,33,0.52,0.217463067
0.047,27,0.23,0.38730004
0.027,16,0.25,0.300637106
0.071,13,0.35,0.337051504
0.101,25,0.29,0.454885796
0.037,34,0.34,0.206867726
0.016,22,0.44,0.06471262
0.094,39,0.34,0.386666268
0.091,9,0.64,0.10924984
0.033,12,0.36,0.215171294
0.103,21,0.29,0.460771945
0.08,14,0.67,0.049341215
0.028,22,0.6,0.030042865
0.021,39,0.61,0.012231441
0.031,16,0.6,0.040484449
0.027,29,0.58,0.034575167
0.108,30,0.31,0.444929411
0.035,24,0.56,0.059537474
0.025,11,0.36,0.192355597
0.076,37,0.6,0.055066415
0.016,18,0.68,0.006879035
0.064,23,0.41,0.24807641
0.028,11,0.48,0.109779388
0.056,24,0.46,0.183235571
0.038,35,0.52,0.09428239
0.093,26,0.34,0.386323603
0.093,14,0.34,0.393376335
0.048,20,0.44,0.177115091
0.105,16,0.33,0.423998961
0.047,26,0.41,0.19495754
0.04,30,0.63,0.018764015
0.034,16,0.43,0.143560863
0.018,19,0.5,0.05299466
0.06,12,0.59,0.093656243
0.092,24,0.33,0.395001809
0.018,39,0.32,0.121239583
0.055,12,0.49,0.1637627
0.107,25,0.68,0.021480171
0.069,7,0.53,0.195068345
0.051,15,0.48,0.156366338
0.02,33,0.52,0.051010043
0.039,35,0.68,0.004459271
0.013,6,0.24,0.378733519
0.088,32,0.27,0.448498726
0.077,28,0.44,0.254204724
0.045,32,0.57,0.064117404
0.083,9,0.6,0.131659743
0.087,7,0.64,0.133172126
0.046,36,0.43,0.176032422
0.012,18,0.2,0.30285513
0.094,19,0.2,0.561435819
0.072,38,0.41,0.268856561
0.033,35,0.63,0.012674455
0.032,11,0.47,0.127553094
0.028,25,0.66,0.009404873
0.083,38,0.4,0.305306057
0.031,19,0.49,0.093997255
0.099,33,0.33,0.407458567
0.108,37,0.26,0.496746148
0.059,19,0.42,0.226335424
0.088,24,0.66,0.028503924
0.063,5,0.33,0.404707179
0.028,20,0.47,0.09542706
0.086,31,0.4,0.312375378
0.024,14,0.47,0.090624849
0.03,7,0.3,0.336411787
0.036,16,0.35,0.216290544
0.066,32,0.36,0.29695588
0.039,31,0.21,0.384188371
0.047,28,0.32,0.270334353
0.037,28,0.42,0.152374805
0.105,19,0.55,0.166622272
0.08,9,0.42,0.294838258
0.094,24,0.69,0.017568565
0.062,33,0.47,0.191923536
0.099,31,0.3,0.43850087
0.087,23,0.61,0.069258364
0.022,28,0.36,0.124025301
0.06,26,0.43,0.219272253
0.07,38,0.37,0.298608297
0.093,30,0.7,0.009405541
0.07,13,0.5,0.18103222
0.051,16,0.51,0.130682806
0.068,7,0.53,0.193704587
0.01,25,0.24,0.151901366
0.088,37,0.67,0.010519477
0.088,13,0.59,0.118238789
0.013,14,0.2,0.343177087
0.035,24,0.37,0.180316395
0.024,35,0.26,0.212317648
0.066,8,0.32,0.386609708
0.05,36,0.42,0.196117282
0.037,35,0.31,0.232926367
0.089,31,0.63,0.036607866
0.054,39,0.39,0.231795554
0.054,37,0.29,0.32604125
0.056,12,0.49,0.165861626
0.071,20,0.69,0.019768979
0.018,39,0.44,0.068695333
0.071,35,0.24,0.443416268
0.06,24,0.33,0.310766923
0.021,7,0.25,0.373179007
0.02,6,0.27,0.36246996
0.053,28,0.42,0.20642262
0.017,16,0.62,0.018546074
0.099,6,0.69,0.130268004
0.051,38,0.31,0.292598197
0.091,10,0.64,0.099664208
0.029,31,0.43,0.116491479
0.022,24,0.32,0.155218912
0.04,19,0.5,0.111274371
0.058,37,0.33,0.298529183
0.029,19,0.37,0.160864495
0.057,6,0.38,0.328709597
0.078,14,0.68,0.043427234
0.067,40,0.68,0.005844277
0.028,12,0.31,0.250614845
0.028,28,0.49,0.084695697
0.073,40,0.68,0.006334247
0.052,30,0.23,0.402341356
0.066,26,0.21,0.47994095
0.095,12,0.43,0.299273384
0.059,12,0.6,0.085753861
0.036,24,0.63,0.022138088
0.017,17,0.68,0.008072569
0.058,31,0.61,0.039511204
0.08,10,0.43,0.278991355
0.062,35,0.32,0.322455333
0.1,14,0.28,0.475866701
0.094,6,0.68,0.133122018
0.059,29,0.52,0.13781924
0.058,24,0.44,0.205333417
0.066,7,0.41,0.299414585
0.107,10,0.7,0.070454446
0.022,12,0.39,0.144198341
0.044,40,0.67,0.004754601
0.092,38,0.27,0.455658404
0.01,20,0.25,0.165081097
0.025,8,0.37,0.223757764
0.032,11,0.31,0.276544336
0.024,8,0.3,0.299918913
0.031,19,0.61,0.03200172
0.038,13,0.59,0.061369251
0.064,32,0.58,0.075143554
0.056,15,0.55,0.108632702
0.069,15,0.32,0.36092434
0.102,36,0.27,0.475456632
0.092,11,0.38,0.351642333
0.065,14,0.53,0.142313455
0.037,29,0.54,0.076576613
0.095,13,0.65,0.074214663
0.018,10,0.28,0.270805084
0.025,13,0.29,0.253829828
0.053,11,0.35,0.298628657
0.04,23,0.32,0.246894876
0.031,22,0.2,0.387724108
0.022,38,0.62,0.009985662
0.094,40,0.34,0.38659238
0.039,11,0.38,0.223962459
0.096,17,0.6,0.100707984
0.01,38,0.62,0.004473367
0.081,39,0.31,0.386721479
0.09,17,0.38,0.341616129
0.042,21,0.3,0.28079314
0.046,16,0.64,0.037354784
0.029,27,0.69,0.00469161
0.046,35,0.36,0.227793397
0.04,33,0.22,0.368004774
0.108,15,0.26,0.511033597
0.054,16,0.48,0.162405402
0.1,18,0.24,0.518442163
0.013,8,0.36,0.189793928
0.09,30,0.32,0.39922593
0.038,35,0.22,0.356756584
0.057,9,0.32,0.359104231
0.019,6,0.26,0.371703488
0.095,30,0.59,0.089100534
0.026,32,0.32,0.169262313
0.098,29,0.65,0.027947944
0.055,30,0.2,0.461886857
