para_1,para_2,para_3,para_4,para_5,para_6,result
0.07,-1,0.02,0.015,0.08,0.02,0.065449788
0.157819,-0.945853,0.032484,0.080154,0.01157,0.088414,-0.022973231
0.146254,-2.480093,0.046547,0.050767,0.095426,0.079873,0.000946954
0.08844,-0.982027,0.033372,0.105808,0.086874,0.088488,0.000484348
0.059592,-3.868952,0.01044,0.065567,0.088367,0.069267,0.004630487
0.061026,-3.837723,0.011322,0.06457,0.090147,0.068556,0.003311234
0.157888,-0.982138,0.032457,0.079313,0.010018,0.088538,-0.028075215
0.085939,-1.064209,0.032089,0.107975,0.089808,0.090839,0.000359468
0.142139,-2.492313,0.047342,0.053022,0.093559,0.08087,0.001022387
0.071271,-0.873104,0.020596,0.014839,0.077689,0.02,0.066134751
