para_1,para_2,para_3,para_4,para_5,para_6,para_7,para_8,result
0.07,-1,0.02,0.015,40,0.08,0.25,0.02,-6.544878599
0.157819,-0.945853,0.032484,0.080154,17.90977,0.01157,0.206462,0.088414,2.277205611
0.146254,-2.480093,0.046547,0.050767,32.01233,0.095426,0.452264,0.079873,-0.094777183
0.08844,-0.982027,0.033372,0.105808,36.88074,0.086874,0.297196,0.088488,-0.048408394
0.059592,-3.868952,0.01044,0.065567,30.271669,0.088367,0.327955,0.069267,-0.463089951
0.061026,-3.837723,0.011322,0.06457,29.735678,0.090147,0.335692,0.068556,-0.331245965
0.157888,-0.982138,0.032457,0.079313,17.395628,0.010018,0.201216,0.088538,2.773003433
0.085939,-1.064209,0.032089,0.107975,37.23728,0.089808,0.288323,0.090839,-0.035938611
0.142139,-2.492313,0.047342,0.053022,31.6232,0.093559,0.448319,0.08087,-0.10236425
0.071271,-0.873104,0.020596,0.014839,40,0.077689,0.252132,0.02,-6.613352728
