para_1,para_2,para_3,result,Y_pred,Y_delta
0.059000000000000004,29.0,0.52,0.13781924,0.13204225264423075,-0.005776987355769259
0.057999999999999996,24.0,0.44,0.205333417,0.20539415864593302,6.074164593303233e-05
0.066,7.0,0.41,0.299414585,0.302008742230523,0.0025941572305229754
0.107,10.0,0.7,0.07045444599999999,nan,nan
0.022000000000000002,12.0,0.39,0.144198341,0.1663505481612903,0.022152207161290294
0.044000000000000004,40.0,0.67,0.004754601,nan,nan
0.092,38.0,0.27,0.45565840399999996,nan,nan
0.01,20.0,0.25,0.16508109699999998,nan,nan
0.025,8.0,0.37,0.223757764,0.23327981821661722,0.009522054216617226
0.032,11.0,0.31,0.276544336,0.2742292589433526,-0.0023150770566474077
0.024,8.0,0.3,0.299918913,0.30803639644413405,0.008117483444134044
0.031,19.0,0.61,0.03200172,0.03303396258666666,0.0010322425866666624
0.038,13.0,0.59,0.061369251,0.07378541233238958,0.012416161332389583
0.064,32.0,0.58,0.075143554,0.07469945548054018,-0.00044409851945982626
0.055999999999999994,15.0,0.55,0.108632702,0.10939007658204335,0.0007573745820433492
0.069,15.0,0.32,0.36092434,0.3673857977488304,0.00646145774883039
0.102,36.0,0.27,0.47545663200000005,0.47495849252868844,-0.0004981394713116094
0.092,11.0,0.38,0.351642333,0.35678179231522894,0.005139459315228967
0.065,14.0,0.53,0.142313455,0.1441907932774498,0.0018773382774497915
0.037000000000000005,29.0,0.54,0.076576613,0.07757764248667601,0.0010010294866760056
0.095,13.0,0.65,0.074214663,0.08793140391650092,0.013716740916500922
0.018000000000000002,10.0,0.28,0.270805084,0.2873009572683615,0.01649587326836155
0.025,13.0,0.29,0.25382982800000004,0.26023425388888893,0.006404425888888898
0.053,11.0,0.35,0.298628657,0.29534921958017496,-0.0032794374198250598
0.04,23.0,0.32,0.246894876,0.25871826246397805,0.011823386463978042
0.031,22.0,0.2,0.38772410799999996,nan,nan
0.022000000000000002,38.0,0.62,0.009985662,nan,nan
0.094,40.0,0.34,0.38659238,nan,nan
0.039,11.0,0.38,0.22396245899999997,0.22521260380812014,0.0012501448081201627
0.096,17.0,0.6,0.100707984,0.11511380916682926,0.014405825166829256
0.01,38.0,0.62,0.004473367,nan,nan
0.081,39.0,0.31,0.386721479,nan,nan
0.09,17.0,0.38,0.341616129,0.3405028815315488,-0.0011132474684512061
0.042,21.0,0.3,0.28079314,0.2917375532916993,0.010944413291699318
0.046,16.0,0.64,0.037354784,0.041710203887973626,0.0043554198879736244
0.028999999999999998,27.0,0.69,0.00469161,nan,nan
0.046,35.0,0.36,0.22779339699999998,0.22813288320967742,0.00033948620967744203
0.04,33.0,0.22,0.368004774,nan,nan
0.10800000000000001,15.0,0.26,0.5110335970000001,nan,nan
0.054000000000000006,16.0,0.48,0.162405402,0.1631653795812808,0.0007599775812807963
0.1,18.0,0.24,0.518442163,nan,nan
0.013000000000000001,8.0,0.36,0.189793928,nan,nan
0.09,30.0,0.32,0.39922593,0.40125202534262944,0.0020260953426294304
0.038,35.0,0.22,0.356756584,nan,nan
0.057,9.0,0.32,0.359104231,0.35167487636463424,-0.007429354635365759
0.019,6.0,0.26,0.37170348799999997,0.3707615698461539,-0.0009419181538460886
0.095,30.0,0.59,0.08910053400000001,0.10516937389230771,0.0160688398923077
0.026000000000000002,32.0,0.32,0.169262313,0.17329992061918195,0.004037607619181954
0.098,29.0,0.65,0.027947944,0.047578170326436735,0.019630226326436736
0.055,30.0,0.2,0.46188685700000004,nan,nan
